    entropy_rank    experimental_rank
soysnp    3392    2776
zc    7031    6964
social    5797    6477
fission    3888    3542
labor    3378    2737
aboveground    3876    3551
fagacea    6517    6720
failur    3366    2752
soon    3391    2775
far1    5476    6230
abi    3356    2746
son    3390    2738
file    3887    3562
latent    3379    2764
formerli    3367    2753
aeschynomene_evenia    6574    6793
en    4224    4242
subdivid    3606    3187
reminisc    3388    2773
wherein    3954    3827
oocyt    4693    5095
whi    3401    2783
aminotransferas    3950    3823
aminocyclopropan    3608    3160
dodder    7201    7148
frameshift    3368    2754
remobil    3955    3828
als3    6987    6910
subspeci    4598    4844
wiley    3402    2784
lsd1    7208    7154
fragaria    4595    4842
electrophoret    3364    2736
lox2    6993    6905
slowli    3625    3203
strikingli    3394    2778
impart    3373    2759
rhizophagus_intraradic    6613    6795
albeit    3357    2733
kf    6519    6722
founder    3889    3563
oblig    3384    2769
khipu    7207    7144
eil    6990    6912
stock    3393    2777
ag1    6520    6723
ago5    7026    6959
geo    3601    3183
dcap    3883    3558
intuit    3375    2761
interspeci    4477    4726
blade    3613    3193
pioneer    3622    3200
chimera    3599    3181
nicotianamin    3895    3568
gravitrop    6992    6913
biotin    4223    4241
chlamydomona    3360    2734
moistur    3604    3159
intoler    3890    3543
cinnam    3881    3556
trade    3607    3188
phe    6994    6914
upper    3400    2782
pld    5596    6277
migrat    3603    3185
siev    4837    5097
bess    5824    6584
mir172    4183    4178
mir169    7209    7155
tmt    3898    3569
mir156b    6816    6828
compress    3361    2749
gmagl15    7203    7150
began    3359    2748
gm15    6518    6721
nodal    7126    7060
tile    4480    4733
tight    3396    2780
ionom    3891    3564
pi88788    5479    6222
nezumisaya    6817    6829
uniformli    3399    2740
newer    3383    2768
nadh    3894    3567
c4h    5699    6414
gmric2    5831    6621
buffer    3880    3555
myc2    4184    4179
gmprr3b    5145    5996
intak    3602    3184
twice    3397    2739
gmspl    7124    7058
camv    3951    3824
underway    3398    2781
camv35    4179    4174
gmphya3    5048    5833
cancer    3598    3180
multitud    3382    2767
multipli    5478    6232
multifunct    3605    3186
carpel    3952    3825
phytas    4597    4843
gmwri1b    6991    6904
gmnac065    5832    6622
bread    3879    3554
mt3_5    5801    6481
gmwrky12    7204    7151
brachypodium_distachyon    5515    6275
catalysi    3614    3161
mpk6    5702    6411
botan    4476    4730
mpa    7125    7059
polyamin    3623    3201
mirbas    3893    3566
pr1    3386    2771
corn    4692    5094
cwr    7028    6961
cwi    7027    6960
tey    7127    7061
mendel    3619    3198
handl    3369    2755
mep    5576    6276
vertic    4670    4908
ration    3387    2772
mer    4221    4239
thiol    3897    3544
avrb    6989    6911
correctli    3615    3194
vu    6619    6796
indonesian    5102    5893
irrespect    3376    2762
authent    3358    2747
theobroma    4222    4240
attain    3610    3190
vigna_angulari    5471    6220
asterid    3878    3553
teosint    3395    2779
cuc1    5700    6415
portal    3385    2770
glc    7029    6962
telomer    3627    3205
seventi    3389    2774
microdomain    6815    6821
sib    4478    4731
condens    3882    3557
ipk1    5472    6221
h3_1    7205    7152
selaginella_moellendorffii    6818    6830
conif    6940    6894
bait    3612    3192
microsom    3620    3162
nonfunct    3621    3199
megabas    3381    2766
w05    4862    5098
backbon    3611    3191
rrna    5796    6476
undomest    4175    3875
recal    4624    4778
undetect    3571    2937
swiss    3857    3449
soak    4238    4196
poultri    3564    2930
pull    3830    3427
photon    4172    3872
preliminarili    3565    2931
vit    6902    6842
taproot    5680    6243
solo    4625    4779
voltag    4242    4200
soymilk    5679    6242
phosphor    4236    4194
ty3    5886    6578
solvent    7199    7109
zno    6903    6843
photomorphogenesi    4549    4320
turgor    4240    4198
yu    5036    5148
photomorphogen    4171    3855
ppn    5885    6577
photoinhibit    5129    5884
taxon    3567    2933
pv11    5678    6241
wang    4176    3876
underlin    3570    2936
unaffect    3569    2935
who    3574    2940
triticum_aestivum    6872    6814
pass    3563    2929
suinong14    4547    4318
react    3831    3409
worth    3575    2941
topless    7195    7105
rrl    5721    6330
toc1    4239    4197
sdw    5722    6331
pmei    7198    7108
polymer    3852    3412
rhl    3855    3447
tlp    6569    6690
rb    6871    6813
v3    5130    5885
polycomb    3851    3445
tier    3858    3450
tiefeng    5113    5831
quarter    3566    2932
subtermin    4885    4947
right    4237    4195
upload    3572    2938
tpss    6996    6882
suweon    6901    6841
polyphosph    3853    3413
spider    5891    6583
parasponia    6870    6812
phosphatid    3849    3443
phytoen    3850    3444
proteinas    3854    3446
spliceosom    4626    4759
unifoliol    4229    4187
weather    3573    2939
subterranean    6995    6881
spring    3832    3428
uninocul    4241    4199
thereaft    3568    2934
qsw    5719    6328
piec    4173    3873
unstress    3859    3451
polysom    7102    6973
sag    6997    6883
river    4174    3874
wrkygqk    4243    4201
spore    3856    3448
zygot    4177    3877
longest    3557    2924
nmr    4548    4319
cycloidea    3530    2899
cyclas    4613    4769
m8206    5677    6240
csn5    7097    6968
cslrp    5720    6329
crystallin    5685    6255
makeup    3559    2882
malic    5134    5889
mapl    3847    3441
costli    3529    2898
mat    4620    4775
mathemat    4169    3870
max2    5126    5881
contact    3836    3432
conclusiona    3528    2897
luciferas    3558    2925
ls    5805    6439
daewon    5465    5999
debat    3839    3435
destin    4882    4944
lifestyl    3846    3440
deregul    3533    2902
depart    3532    2901
lipidom    4168    3869
deepen    3531    2900
litura    3555    2922
dag    4614    4770
db    3838    3434
danbaekkong    5884    6576
ll    5111    5830
damp    4163    3864
daili    3837    3433
logarithm    3556    2923
comprehend    3527    2896
messagew    3560    2926
clavata    5687    6257
myriad    3561    2927
msra    6869    6805
mtp    5127    5882
breadth    4232    4190
mutabl    5035    5147
bogao    4161    3862
bl    7095    6966
bioscienc    4228    4186
bypass    3835    3431
naringenin    4621    4760
nicotin    5128    5883
bari    3523    2892
nip    4622    4776
azuki    6865    6809
nj    5806    6440
broken    3524    2893
c3    5674    6238
microbiota    5034    5146
ccd8    5883    6575
circumst    3526    2895
microtubul    3848    3442
chose    3525    2894
chelatas    5131    5886
cgh    6568    6684
mir398    5890    6582
caviti    4162    3863
caca    7096    6967
caryophyllal    4881    4943
cargo    5684    6254
mj    7194    7104
capsicum    5030    5142
camelina    4612    4768
cal    6900    6840
lib    3554    2921
lhi    4619    4774
df    7098    6969
gmabi3    7196    7106
gmpt1    6861    6801
hypermethyl    4545    4316
gmelf3a    5132    5887
gmcol    5675    6225
iic    4234    4192
gmacp1    5686    6256
gm08    7100    6971
hydroperoxid    7101    6972
glyii    5467    6001
glyi    5466    6000
glucuron    3843    3439
incom    3845    3411
gate    4165    3866
fv    4615    4771
hydroxyisoflavanon    4167    3868
hydrolys    4233    4191
freshwat    5889    6581
hordeum    3545    2913
hgt    6868    6811
hickori    5676    6239
hmm    4616    4772
haustoria    5033    5145
homo    3544    2912
h3k4me3    5688    6258
h3k27me3    4883    4945
gmsnrk2    6860    6800
housekeep    4166    3867
guidanc    3543    2911
html    3547    2914
huai    3548    2915
huang    3549    2916
grade    3827    3408
fungicid    4544    4315
foxtail    5888    6580
dgat2    5031    5143
distinctli    3537    2905
lactat    4618    4773
drop    3840    3436
dreb1    5887    6579
drag    3539    2907
dollar    3538    2906
dn    3826    3424
dissimilar    3536    2904
dw    7099    6970
lee    6862    6802
dispar    3535    2903
disclos    3534    2881
dilut    3825    3423
len    3553    2920
diazoefficien    4164    3865
duplex    5032    5144
encount    3540    2908
interrupt    3550    2917
ix    4884    4946
intestin    4617    4758
flcdna    7193    7103
fifth    3842    3438
fd    5110    5829
fbd    6867    6810
isoprenoid    4546    4317
extinct    3542    2910
kompetit    3552    2919
jag    7197    7107
javanica    5133    5888
jointli    3551    2918
evenli    3541    2909
etm    6866    6804
ethanol    3841    3437
axiom    3824    3422
heterodim    3844    3410
archiv    3834    3430
agl15    6567    6689
osmolyt    3829    3426
npq    4623    4777
nonhost    5112    5823
albumin    4160    3861
agronomi    3519    2888
oligomer    3562    2928
antenna    5882    6574
antagon    4230    4188
approv    3521    2890
analogu    3520    2889
odd    3828    3425
assumpt    3823    3421
oxysporum    4235    4193
aquat    4611    4767
oldest    4170    3871
oxo    6570    6691
acetylserin    4159    3860
aleuron    5804    6438
argentina    3522    2891
antifung    4231    4189
antibacteri    3833    3429
a5    6899    6839
properli    3773    3115
choos    3728    3075
normfind    4138    3768
fabriciu    3736    3082
overexpressor    4647    4420
glycyrrhiza    7177    7030
remnant    4144    3774
glycerolipid    4560    4251
microsymbiont    3756    3099
circul    3729    3076
southeast    4145    3775
linum    4133    3764
tractabl    3788    3129
feder    4558    4249
chicken    3727    3074
globe    3738    3084
ssh    6560    6619
ginseng    7176    7029
adenosyl    5165    5869
fad7    6884    6777
clonal    3730    3077
clv3    6550    6609
primordi    6557    6616
ss2    5670    5995
epitop    6525    6595
mexico    4136    3766
coevolv    4118    3751
primit    3771    3113
coffe    6883    6776
sesquiterpen    5068    5110
chemistri    4117    3750
transvers    3789    3130
qpdh1    5669    5979
scorch    3782    3124
cash    3725    3072
gmcol1b    7016    6857
miso    3757    3100
cb    6524    6594
mismatch    4137    3767
cb27    5808    6343
ccaat    4555    4246
misfold    4565    4256
ccd7    6549    6608
ifs2    5293    5873
triphosph    3790    3131
akt1    4976    4884
lysophosphatid    4644    4417
mimosoid    6892    6782
gmchli    7015    6856
ccr    5062    5119
illegitim    3745    3090
endophyt    5063    5120
trifolium_pratens    6530    6600
mir394a    7181    7034
km    3749    3094
centimorgan    3726    3073
cercidoidea    7012    6853
gmaat    5810    6345
delta    4121    3754
arachis_hypogaea    5175    5870
nopp    7182    7035
peculiar    3766    3109
genomewid    4640    4413
cry2    4639    4412
manihot    4135    3736
tannin    4568    4258
mayb    3753    3054
d27    7014    6855
fatb1a    6526    6596
tapetum    5739    6249
ra    3776    3118
fourfold    4125    3757
tassel    4650    4423
predictor    3769    3112
problemat    3772    3114
fls2    4559    4250
coumarin    7174    7027
weedi    5814    6349
os    5065    5122
interconvers    3747    3092
counter    4120    3753
premis    3770    3044
flc    4124    3756
jatropha    4131    3735
maltos    7180    7033
tawni    7185    7038
thank    4147    3777
rd29a    4143    3773
figur    3737    3083
wrinkled1    3797    3057
ipaensi    3748    3093
lyrata    4564    4255
agre    3720    3068
advoc    4637    4411
skip    3785    3055
columbia    4556    4247
simpler    3783    3125
metaboliz    5064    5121
equip    3735    3081
messagetwo    3755    3098
sporophyt    4981    4888
compel    3731    3078
isoleucin    4643    4416
wgcna    4652    4424
tackl    4146    3776
vulgar    3795    3135
css    7013    6854
log    4134    3765
escherichia_coli    5258    5872
daidzin    4557    4248
inspect    4130    3762
conspicu    6551    6610
fatb    5809    6344
penalti    3767    3110
instabl    3746    3091
adventiti    4636    4410
nucleosid    4646    4419
anthesi    4114    3747
meiotic    3754    3097
r108    5813    6348
weaker    3796    3136
isoclark    6889    6780
isocitr    4642    4415
sixth    3784    3126
consolid    4119    3752
quick    3775    3117
rehydr    4649    4422
cardiovascular    4116    3749
uralensi    7186    7039
disadvantag    3732    3079
pst    5738    6229
navig    3761    3104
oligopeptid    4567    4257
rps11    6893    6783
harden    6554    6613
abf    7172    7025
holist    4641    4414
nearbi    4979    4887
nearest    3762    3105
bigger    3724    3071
dreb2a    5737    6248
necrot    4645    4418
rpp3    3779    3121
labori    3750    3095
nobl    3764    3107
dystrophi    7175    7028
pseudochromosom    4142    3772
photosynth    4140    3770
e11    6553    6612
zh24    6895    6784
viii    4149    3779
hp    5666    5992
myeloblastosi    3760    3103
sun    7022    6863
lab    4132    3763
qei    7020    6861
pvnark    7184    7037
whorl    5740    6250
pacif    4648    4421
virguliform    4150    3780
neglig    3763    3106
rpm1    6558    6617
gsk3    6528    6598
versa    3793    3133
hemibiotroph    4128    3760
rnp    5066    5123
bag    6882    6737
bacterium    3723    3051
lastli    3752    3053
pungsannamul    4980    4873
axonopodi    3722    3070
ho    6555    6614
vice    3794    3134
hereaft    3741    3086
ring1    7021    6862
a7    7171    7024
hf    6888    6779
rlm    3778    3120
barcod    6548    6607
att    7173    7026
phenomena    4139    3769
rop    6529    6599
dor364    5664    5990
domestica    4122    3755
landmark    3751    3096
hectar    4127    3759
nh3    7019    6860
bd    5807    6342
heart    3740    3085
nfc    7018    6859
behav    4115    3748
hk    5665    5991
usitatissimum    4148    3778
a9    5161    5868
hdr    5811    6346
nonmodel    5668    5994
rxlr    5067    5124
devic    6552    6611
unansw    3791    3132
sbp    6894    6738
ascochyta    4977    4885
cabbag    5060    5118
c5    4553    4244
liber    5812    6347
straightforward    3786    3127
hydroxi    3744    3089
strateg    3787    3128
zat    7187    7040
month    4566    4233
hydrolyt    3743    3088
hydraul    4562    4253
abstractphytophthora    3719    3067
hyacinth    7179    7032
hyper    4129    3761
arrest    3721    3069
california    5061    5109
monogen    3758    3101
gmphya1    6692    6658
cambium    4554    4245
elf3    3733    3052
gmphr1    6887    6778
reservoir    3777    3119
gmn    7017    6858
pla    7183    7036
offspr    3765    3108
placement    3768    3111
elsewher    3734    3080
scatter    3781    3123
emsa    4123    3734
acknowledg    4975    4883
moshid    6556    6615
antibiot    6547    6606
mpk3    5667    5993
gossypium_barbadens    6693    6659
asteracea    5177    5871
grassland    7178    7031
huaxia    3742    3087
gossypium_raimondii    6527    6597
sad    6559    6618
lf    6891    6781
l4    4978    4886
branched1    4552    4243
phytopathogen    4141    3771
lfi    4563    4254
zea_may    6531    6601
saharan    3780    3122
multifacet    3759    3102
unicellular    3792    3056
prototyp    5383    5874
provok    3774    3116
golden    4561    4252
gold    4126    3758
ear    4990    4813
kazusa    6918    6702
j2    4528    3966
string    5863    6375
endomembran    4487    3929
pyl    6923    6706
f9    4488    3930
qc    5860    6372
quantum    4501    3906
qlq    7149    6934
draw    4517    3956
expression    4016    3317
kariyutaka    4493    3935
stringenc    5876    6388
dsred    5079    4928
languag    4998    4821
jidou    4997    4820
eucalyptu    5489    5842
agroinfiltr    5868    6380
kin    5080    4929
style    4504    3944
juglandacea    7145    6931
rab    6924    6707
spruce    6930    6711
entitl    4013    3314
excit    4015    3316
suberin    4505    3945
kti    5853    6366
ai    7129    6916
struggl    5864    6376
esculenta    4014    3315
enod40    5709    5963
endosymbiosi    4991    4814
eif5a    6911    6696
pyru    5096    4941
lambda    4037    3337
r7    5085    4933
sra    7154    6939
autotetraploid    5849    6362
fabal    7135    6922
retroel    5004    4827
reticulatum    5875    6387
zeatin    4511    3950
grower    4022    3323
groundwork    4021    3322
resultsus    4056    3355
hunger    4522    3960
hurdl    4028    3329
satisfi    4058    3357
gmwrky46    7142    6929
gmvspβ    6857    6639
gmrlk18    7141    6928
hydroxybutyr    4523    3961
hydroxymethyltransferas    4029    3330
acclimat    3984    3289
gmpldα1    6856    6631
gmphya2    5713    5965
hypha    4490    3932
sc8    7152    6937
gmhsp90    7140    6927
scarciti    4059    3358
scf    4060    3359
gmcyp78a57    6855    6638
gmcol1    5487    5840
ignor    4030    3331
overlook    4046    3346
guanin    4023    3324
retrotransposit    5005    4796
act11    6909    6694
russian    5087    4935
herbac    4024    3325
himeshirazu    6537    6472
henong    5870    6382
helitron    7143    6900
rosett    4503    3943
hint    4025    3326
histochem    4026    3327
ribos    5861    6373
he    5714    5966
home    4027    3328
rpp5    5006    4828
rhizobacteria    4502    3942
rps1k    7150    6935
homogentis    6917    6701
rflp    5711    5969
homozygos    4521    3959
rsc8    6926    6709
rsv    7151    6936
revolutionari    4057    3356
abi5    3983    3288
zim    4081    3379
zhang    5011    4833
gy1    6916    6700
gwe    6915    6699
hrm    6538    6473
gmchx1    6913    6698
parsimoni    4047    3347
agenc    3986    3291
g3    4993    4816
sip1    6929    6686
wuschel    4540    3910
fund    4019    3320
ftc    7138    6925
interactor    4035    3335
intercept    5852    6365
skn    5097    4942
slide    5862    6374
frankia    4518    3957
sloan    6539    6474
fragranc    7137    6924
interproscan    4526    3964
ae    4483    3925
smr    7153    6938
intervein    4036    3336
fluid    7136    6923
intervent    4527    3965
flight    4018    3319
rddm    6925    6708
filtrat    4017    3318
ipaënsi    4492    3934
ferul    4489    3931
iq    4996    4819
irlc    7144    6930
wp    7157    6942
fus3    4992    4815
ga20ox    6912    6697
immobil    4031    3279
redesign    4054    3353
gm18    4520    3958
gm17    4994    4817
immunolog    4032    3332
sensori    4061    3360
adenosin    3985    3290
relianc    4055    3354
glass    5851    6364
shaker    6927    6710
sheet    4062    3361
shelf    4063    3362
larva    5081    4930
ineffect    4033    3333
genosoja    5009    4831
genistin    4519    3908
genebank    5094    4915
influx    4524    3962
infrar    4034    3334
gcc    4020    3321
gc3    5712    5964
signifi    4064    3363
initio    4491    3933
inoculum    4995    4818
insensitive3    4525    3963
redistribut    5086    4934
galactomannan    7139    6926
dpph    5078    4927
sulfoxid    6931    6712
dpp    6536    6471
termini    4069    3368
tumor    4509    3948
uniprot    4077    3376
unifoli    4538    3976
communi    4002    3304
unif    4076    3375
planet    4534    3972
arisen    3990    3294
bradyrhizobium_diazoefficien    6534    6469
bragg    7131    6918
collaps    4001    3303
magic    5854    6367
antivir    4513    3952
brassical    5706    5960
tether    6933    6714
astring    3991    3295
majorli    4038    3338
nsp2    5855    6368
undoubtedli    4075    3374
cx1834    7134    6921
blastx    4485    3927
cyanobacteria    4515    3954
blastp    3998    3301
d3    5077    4926
tang    4067    3366
profoundli    4052    3352
pip    5859    6371
anthropogen    4512    3951
d1a    4008    3309
pleiotropi    4535    3973
n1    6920    6685
tof5    7156    6941
misassembl    5490    5843
cytometri    4007    3278
tt    4508    3907
tau    5865    6377
blackgram    7130    6917
taxonomi    4068    3367
tcss    6932    6713
privat    4051    3351
wd40    4510    3949
ms5    6919    6703
crown    5093    4914
uncertainti    5090    4937
nontransgen    5002    4825
controversi    4005    3307
morn    5000    4823
messag    5095    4940
nox    5715    5968
pif    7148    6907
tiller    6934    6687
conclusionin    4003    3305
monounsatur    4531    3969
ppd    5003    4826
ppc    6858    6640
meiocyt    7146    6932
c3h    4000    3277
conclusionsoveral    4004    3306
meme    4494    3936
pine    5083    4912
mere    4040    3340
morpho    4496    3905
nonredund    5001    4824
breakpoint    3999    3302
thicken    4536    3974
cri    7133    6920
thaumatin    4506    3946
theme    4070    3369
prenyl    5707    5961
therapeut    4071    3370
phytoestrogen    4498    3939
manuscript    4039    3339
mpk    5873    6385
canker    4989    4812
underrepres    4537    3975
phytoremedi    5858    6370
nsp1    7147    6933
cosmet    4006    3308
mol    4999    4822
thermotoler    4507    3947
apiacea    5092    4939
twofold    4074    3373
pore    6922    6705
profit    4500    3941
untransform    5866    6378
nh4    5710    5967
oligo    4533    3971
surpris    4065    3364
aluminium    4987    4795
polyphenol    4499    3940
noteworthi    4045    3345
devoid    4011    3312
valin    4078    3377
ambigu    5847    6360
nop    5491    5844
nickel    4532    3970
amongst    3987    3292
clathrin    7132    6919
v94    5877    6389
begun    3994    3298
behaviour    3995    3299
biosynthes    3997    3300
descriptor    4516    3955
swap    4066    3365
dgat3    6535    6470
microdissect    4041    3341
aquacultur    3988    3293
njau    4044    3344
dormant    5850    6363
allantoin    5488    5841
transpar    5008    4830
away    3993    3297
pgpr    6921    6704
widen    4079    3378
autopolyploid    5848    6361
pdb    5082    4931
autogam    3992    3296
sunlight    5716    5970
minut    4495    3937
sulfid    5007    4829
mir160    5872    6384
pocket    4050    3350
variet    5091    4938
dihydroflavonol    4012    3313
trichopoda    4073    3372
oligom    5856    6369
phosphatidylethanolamin    4048    3348
deserv    4010    3311
phospho    4497    3938
biomolecul    3996    3276
amyrin    6854    6637
propens    5084    4932
upgrad    5867    6379
dc3000    5869    6381
tpr    5717    5971
angiogen    6533    6468
prompt    4053    3280
t3    5010    4832
dawn    4009    3310
methylglyox    4530    3968
taiwan    7155    6940
tale    5088    4936
nano    4042    3342
tall    5089    4913
d4    6910    6695
codomin    4486    3928
toolkit    4072    3371
prot    5874    6386
betain    4988    4811
mf    5871    6383
lignocellulos    4529    3967
phosphoinositid    4049    3349
neglect    4043    3343
dem    5708    5962
biolist    4484    3926
caesalpinioidea    4514    3953
ureg    6859    6641
uridin    4539    3909
gmdreb1b    7063    6755
trimer    4912    4334
gm05    7062    6754
trinucleotid    4416    3713
gmchi    6846    6554
cdc    4924    4346
acreag    4901    4324
gmgi    7064    6756
camellia    7050    6743
cannabinoid    5984    6351
ariadn    6839    6547
seemingli    4401    3700
activas    4917    4339
calli    4289    3594
gmnpr1    7065    6757
archaeolog    5744    5906
truli    4417    3714
gmhkt1    5760    5920
carboxypeptidas    4923    4345
cercospora    4925    4347
ccoaomt    7051    6744
bossier    6826    6535
uida    5661    5796
heavier    4338    3641
atlas    4285    3590
bioproduct    5650    5785
upgma    6837    6545
halo    7066    6758
hap2    5761    5921
rps7    7080    6771
biomerc    4286    3591
hardli    4337    3640
aaa    4916    4338
usda110    5749    5910
bes1    5959    6350
usher    4427    3724
rotylenchulu    4397    3696
c6    5651    5786
vapor    4428    3725
held    4339    3642
roseu    7079    6770
bast    6825    6534
atom    4920    4342
vastli    4429    3726
australian    4921    4343
hemolyt    6847    6555
vegetarian    4430    3727
ver    4914    4336
verticillium    5646    5162
vessel    4431    3728
biotech    6841    6549
untap    4426    3723
unresolv    4425    3722
guineensi    4336    3639
accentu    5752    5898
asiat    6840    6548
unavail    4913    4335
c2c2    7049    6742
uncertain    4418    3715
sauc    4400    3699
uncoupl    4419    3716
undefin    4420    3717
underestim    4421    3718
underexploit    7084    6775
understudi    4422    3719
assimilatori    5754    5914
sand    4399    3698
bowman    4288    3593
glyma1_01    7061    6753
sac    5643    5779
blood    4287    3592
zgdd    6838    6546
guidelin    4335    3638
guilt    5636    5772
ataf    4284    3589
russia    4398    3697
unmap    4423    3720
bisphosph    4922    4344
unreport    4424    3721
selenium    4962    4383
xenopu    4435    3732
adaxi    5648    5783
agroecosystem    5753    5913
hexam    4906    4328
ethic    4932    4354
spheric    4406    3705
sphingolipid    4407    3706
ethephon    4319    3623
essex    4318    3622
esi    4931    4353
west    4974    4395
anhydras    4283    3588
epsilon    5635    5771
defeat    4304    3608
defoli    4305    3609
ssn    5644    5780
epicotyl    4904    4326
deform    4928    4350
specialist    4911    4333
spcas9    6836    6544
syn    4410    3708
tasirna    5645    5781
fasciclin    4905    4327
temporarili    4411    3577
aggress    4279    3584
facult    4322    3625
cupin    4927    4349
facet    4321    3624
cyanidin    5755    5915
extraordinari    4320    3571
extensin    5756    5916
word    4434    3731
cysno    5656    5791
soysnp6k    4405    3704
woodland    6852    6560
expert    4933    4301
sparingli    5778    5938
dehydratas    5633    5769
endosymbiot    4317    3621
transgenesi    4973    4394
supersag    4968    4389
stripe    4966    4387
albino    5918    6334
wise    4915    4337
dsrna    6844    6552
dimethylallyl    7054    6747
discard    4929    4351
discrep    4311    3615
almt    4918    4340
drove    4313    3617
wing    5647    5782
displac    4312    3616
allohexaploid    4282    3587
allo    4281    3586
dreb2    7055    6748
subsp    4967    4388
dictat    4310    3614
educ    4930    4352
endosom    4316    3620
stream    4409    3576
denot    4306    3610
wherebi    4432    3729
stepwis    4408    3707
swell    4969    4390
amphidiploid    7047    6740
alarm    4280    3585
enclos    4315    3619
descent    4307    3611
desorpt    4308    3612
ein3    7056    6749
eighti    4314    3618
sutur    7081    6772
destroy    4309    3613
str    6416    6335
egfp    5634    5770
somewhat    4404    3703
fascin    4323    3626
cumbersom    4303    3607
genevestig    4937    4358
tof16    7083    6774
gen    5759    5919
approx    5649    5784
shuffl    4964    4385
geminivirus    7060    6752
committe    4292    3597
gdsl    5758    5918
como    5653    5788
tl    6851    6559
williams82    4433    3730
garner    5757    5917
silent    4965    4386
titrat    4972    4393
gametogenesi    4935    4356
tini    4971    4392
genepool    4936    4357
shortli    4963    4384
csd1    6843    6551
geographi    4938    4359
chs1    5652    5787
chs8    4290    3595
arabinosyl    7048    6741
glycitin    5657    5792
glycinemax    4334    3637
glycinea    4333    3636
serrat    5748    5909
cinnamoyl    4291    3596
clan    6842    6550
glimps    4332    3635
gigabas    4331    3634
sharp    4402    3701
giant    4330    3633
gf    6828    6536
coher    4926    4348
galegoid    4329    3632
galacturonosyltransferas    4328    3631
timescal    4970    4391
conclusionthes    4293    3598
apoptosi    4919    4341
coregul    4299    3604
foster    4325    3628
foci    4934    4355
cotyledon1    4300    3570
wayao    5750    5911
aforement    4278    3583
flourish    4324    3627
theori    4414    3711
flavanol    6845    6553
criterion    4301    3605
crt    4302    3606
text    4413    3710
tetra    7082    6773
testa    4412    3709
coral    7053    6746
fragrant    7057    6736
copyright    4298    3603
confront    4295    3600
g5    7059    6751
cone    7052    6745
fyve    7058    6750
thrive    4415    3712
conflict    4294    3599
fruitful    4327    3630
sixti    4403    3702
cop1    5655    5790
congruent    4296    3601
wav    6493    6352
frontier    4326    3629
contemporari    4297    3602
contin    4903    4325
cop    5654    5789
palisad    4950    4371
a0    5751    5912
ordin    5770    5930
jcvi    5638    5774
refold    5641    5777
opinion    4368    3668
pca    4909    4331
pulp    4955    4376
meat    5765    5925
modest    4360    3662
pcf    4371    3671
regel    5642    5778
nhej    5766    5926
mesoamerica    4944    4365
purg    4385    3684
melo    4356    3658
merit    4357    3659
oliv    5769    5929
mitochondrion    4907    4329
oleat    6849    6557
pursu    4386    3685
regist    4389    3688
restructur    4959    4380
mcscanx    7069    6760
pr2    7074    6765
itraq    4348    3650
resultstwo    4394    3693
prenyltransferas    5746    5907
pilot    4379    3678
inquiri    4941    4362
pinnata    4380    3679
ptg    6833    6541
ptm    5747    5908
orthogroup    6831    6539
phosphofructokinas    5771    5931
pub    7078    6769
iter    4347    3572
resultsthi    4393    3692
resultsour    4392    3691
nervon    6848    6556
law    4350    3652
molecularli    4361    3663
orchidacea    7071    6762
republ    6850    6558
officinali    5745    5899
monosaccharid    4362    3573
qsw17    6834    6542
reniformi    4390    3689
qe    5776    5936
phage    4952    4373
nowaday    4365    3665
incap    4344    3647
peripher    4374    3673
inc    4343    3646
remorin    4910    4332
imposs    4342    3645
mesorhizobium    4358    3660
kit    5763    5923
nonlegum    5768    5928
mind    4945    4366
pertain    4375    3674
quercetin    4956    4377
polish    6832    6540
remedi    4958    4379
kin1    4943    4364
ns    5639    5775
mir408    7070    6761
peptidyl    5659    5794
indigest    4345    3648
pv07    5660    5795
pectat    5640    5776
octoploid    4949    4370
peg6000    4372    3672
nigra    5767    5927
ifs1    5637    5773
ige    6829    6537
occasion    4367    3667
plate    4381    3680
pen1    5658    5793
nipponbar    4947    4368
pentos    4373    3575
nucleosom    4366    3666
messagethi    4359    3661
nir    4948    4369
repen    4391    3690
plenti    5775    5935
legaci    4351    3653
kelch    4349    3651
rfs2    5777    5937
paramount    4370    3670
overestim    7072    6763
mother    4946    4367
let    5764    5924
php    4953    4374
panicl    7073    6764
panicum    4951    4372
lysi    7067    6759
phosphosit    5772    5932
rgc    4960    4381
pare    4908    4330
proxi    4384    3683
phosphotransf    4376    3675
physiochem    4378    3677
rewir    4396    3695
homeologu    5762    5922
photorespir    5773    5933
ltd    4355    3657
leghemoglobin    4352    3654
interchromosom    4942    4363
intellig    4346    3649
multidimension    4363    3574
histolog    4940    4361
hing    4939    4360
protein1    4383    3682
photoprotect    4377    3676
print    4954    4375
prevail    4382    3681
ribonucleoprotein    4961    4382
logic    4354    3656
horizon    4340    3643
psg    7077    6768
realist    4387    3686
outbreak    4369    3669
rapd    4957    4378
nced3    4364    3664
retrovir    6835    6543
isoenzym    6830    6538
preselect    7075    6766
pif3    5774    5934
hse    4341    3644
revis    4395    3694
recurs    4388    3687
psb    7076    6767
log2    4353    3655
pn    4813    4095
invent    4775    4058
ethanolamin    5541    4995
multilocu    5581    5033
squa    6980    6526
mirnaom    5579    5031
trimethyl    4852    4131
mirror    4790    4073
multidisciplinari    4794    4077
etli    6589    6290
plaza    6608    6308
cheongja    5520    4975
phylum    5592    5044
mir167    4789    4072
bop    6578    6280
escap    4747    4030
